Name,Department,Rating,Difficulty,Would Take Again %,Total Ratings,Courses Taught,Review 1,Review 2,Review 3
"Andrew McElhinney","American Studies",4.4,2.7,71.4286,7,"303|306|323","Q:5/D:1/G:A+ — Honestly take his class American Detective in Fiction and Film. Easy A just submit your assignments on time. He barely assigns stuff and when he does he gives you a lot of time to complete it so you'll be fine. Only 'hard' thing is the 10 minute video presentation that you to do on a topic that you ","Q:3/D:5/G:Not sure yet — Truly insane course load (650+ pages of reading, 10+ feature films, plus a 10 minute research video project, plus a final exam, also I had to submit my r&#233;sum&#233; to him and it was worth 5% of my grade?). Content was very well curated and interesting, but I would only take this class if you're","Q:5/D:2/G:A — Took American Detectives in Films and it was great! It's a completely online course consisting of short worded responses (50-150 words), 2 papers, and a video project. The assignments and films we were assigned were easy and fun. He grades very quickly and the grading criteria is clear. Overall, gre"
"Hunter King","Science",2.4,4.4,40,5,"322|ELEMENTPHYS1","Q:3/D:5/G:A — I like his Modern Physics but I hoped that he could take advantage of modern devices for his class to motivate students.","Q:5/D:3/G:A — I had took similar course before. Good course, the prof did his thing. Pros: talkative outside of class, understand life, office hour covers conceptual things (even math), class is interactive, optional test to boost grade, grade is curved and gives previous year exams. But we only had 4 tests and f","Q:1/D:5/G:A+ — Very hard to follow alway with the prof explaining"
"Geraldine Moore Manahan","Social Work",5,2.2,100,5,"SW402|SW472|SW502","Q:5/D:3/G:A — There is no kinder, more invested prof than Professor Manahan. Last year I was taking a class with another professor who had to go on leave, and Prof Manahan stepped in to complete the semester and she was wonderful. This semester I took her Hum Behv course. Her material is excellent and she is clea","Q:5/D:2/G:A — About 2-3 hw's a week. Self-quiz that asks if you understood something from 1-5, mostly there to help her and discussion posts, good easy work sheets and policy assignments that u can pick so it interests u, just have 2 relate it back to class. She also has written lectures and videos are included s","Q:5/D:2/G:A — I would recommend Professor Manahan. She replies to emails very quickly and provides details on the assignment. If you do all the work, you will pass."
"Raymond McAnally","Digital Filmmaking",4,2,75,4,"STAGETOYOUTUBE|THEATREAPP","Q:5/D:1/G:A — took this as an easy elective. didnt expect him to be a real accomplished actor (modern family among others). class is super chill and easy. light assignments each week. take for a gpa booster also bc he is really nice","Q:5/D:1/G:A+ — Really easy class, take it when you need to fill out your schedule but don't want to take a hard class. Just do the video assignment every week, a one page writing assignment every week, and sometimes a discussion post. As long as you get your work done every week you literally never have to interac","Q:5/D:1/G:A — I enjoyed the class, consisting of a video assignment every week, along with discussion posts and short writing assignments with a few quizzes. I found it helpful for my public speaking skills and he gives great feedback and seems to genuinely care about my class. Cool guy."
"Stacey Kohler","Counseling & Educational Psych",5,2.7,33.3333,3,"ARTSANDSCI210|CAREEREXPL210","Q:5/D:3/G:B — Easy 1 credit course but easy to fall behind. Projects come often, usually resume or interview preparation that you need to dedicate some time to. Good reflection and preparation for career world, but prepare for lots of outside activities and time management.","Q:5/D:2/G:N/A — Stacey is really nice and gave us multiple opportunities to submit work. However, if you fall behind it may come across as a lot of work especially considering that it's a 1.5 credit class. I'd heavily recommend starting the homework as soon as you finish class. It's easy BUT lengthy. Still, it coul","Q:5/D:3/G:A — Probably the best prof for the 1.5 credit career class. I wouldnt say I'm any closer to knowing what I wanna do for a career, but it was a good self-reflection time. She is super nice and helpful, and knows about all of Rutgers' resources. You have to do a couple of events and prove you were there w"
"Fang Yi","Economics",5,2,100,3,"355101|ECON433","Q:5/D:3/G:B+ — Fair grader. She uses real-world examples to explain difficult concepts and health policy clearly. Ungraded exercises help us stay on track with the material. She also provides helpful feedback and takes the time to explain exercises and key points. There is a bit of reading, but it's manageable for","Q:5/D:2/G:A+ — She's a really good professor, sweet, understanding, and not too hard. She sticks to the course guidelines but does everything she can to make sure you don't stress about her class, especially since she knows other classes can be overwhelming. If you need an extension, she's very lenient as long as ","Q:5/D:1/G:A — Obviously there is a lot of writing required but she is really nice and super flexible with reasonable requests. As long as you complete the in class activities/essays on time and follow her feedback, you'll end with a good grade. Also sometimes if you finish the in class assignment early you can ju"
"Gary Altman","Science",4,2,100,2,"11","Q:3/D:2/G:A — Professor Altman was such a kind professor that made you interested in learning. I took People-Plant Relationships with him, and it was an easy hybrid course. You do some in person tours of the garden and greenhouse which was very fun. There's weekly discussions and modules online but lectures aren'","Q:5/D:2/G:A — I've taken two courses with him for the HT minor and both were great. His course setup is very straightforward and the content is interesting. He's not a strict grader so as long as long as you watch the lectures and do the discussion posts/projects you'll be fine. Also very responsive and willing t",""
"Kiran Garimella","Information Technology",5,2,100,1,"ITI202","Q:5/D:2/G:A — A couple of coding assignments and one large final project. He explains concepts in depth.","",""
"Edward Hubbard","Business",3.7,2.9,65.9574,57,"203|22620588|BPOL492|BPS418|ENTRE203|FIN203|FINFORENTRP|INTMGMT301|INTROMAN301|INTROMGMT301|MAN301|MANAGEMENT300|MGMT101|MGMT203|MGMT301|MGT301|MNG101|MNGT101","Q:5/D:3/G:A — Class wasn't too hard and isn't too difficult to get an A. The tests are definitely difficult make sure you read through the harvard case studies and the lectures. It's not recquired but I'd also go through the text book to help out. Homework is relatively minimal except for some groupwork which isn","Q:5/D:2/G:A — Taking Hubbard for Intro to Management was a great experience. His lectures are awesome and informative if you are interested in the subject. You get paired with a group until the end of the semester and do assignments together. Study well for his exams as they are worth a lot. The group project, wh","Q:4/D:2/G:A — Professor Hubbard teaches in lectures and gives you what to study. He makes things clear and is very accessible. Group projects are huge part in class but work is not too challenging. Study slides and some of textbook (textbook not super necessary bc mostly everything in slides). Attendance mandator"
"Amy Funck","Political Science",2.3,3.4,28.9474,38,"AMERIGOVT104|POLI304|POLSCI428","Q:5/D:3/G:B+ — One of the best professors at Rutgers. I have had the privilege of taking 2 of Dr. Funck's classes and they were both enjoyable and performative. Expectations are made clear and Dr. Funck is always more than willing to help students meet them!","Q:1/D:3/G:N/A — The course content itself is very interesting and Dr. Funck seems to be as enthusiastic as they get on the subject matter. Grading is fair but tough. As a student with an LOA, I was out of luck as she simply does not believe in that. I hope other students can have a better experience.","Q:5/D:3/G:A — Professor Funck is an amazing professor and a really nice person. She was one of my teachers when I took the Baker's Dozen class during the fall of 2024. It was 100% my favorite class that semester and a lot of that had to do with the thought provoking political questions she asked to my fellow stud"
"Anne-Michelle Marsden","Labor Studies",2.5,3.7,19.2308,38,"368|37575297|575297|DIVERSITY364|DIVERSUTY364|EI367|EIW575|LABOR364|LABOR367|LABOR492|LABORSTUDIES364|LEC491|LER511|PROFDEV368","Q:1/D:4/G:C+ — Prof. Marsden is very rude. Her website and Canvas page are extremely hard to navigate. Her assignment instructions make no sense and are all over the place. All around, I would never take her again. It was a very miserable class.","Q:2/D:4/G:Not sure yet — DO NOT TAKE THIS PROFESSOR IF YOU WANT AN EASY ASYNC CLASS. I'm taking DEI with her online, and I thought it would have been simple enough, but she assigns more readings than my in-person professors, and she expects entirely too much for a class that's an elective. I wish I had read the rate my prof","Q:3/D:3/G:A — This class is definitely not an easy A and requires a lot of writing when compared to other online courses. I found the material interesting for some weeks, but it could get boring and repetitive at times. She is a truly passionate professor who cares about diversity, but I'd much rather have her as"
"Joel Schreiber","Finance",3.6,1.9,63.6364,11,"FIN","Q:2/D:1/G:A — I didn't talk to this professor once. I took Personal Finance to complete one of my requirements. He posts material from previous professors. You pay for an online program (~$150) and just complete everything there. But, the course itself is basically self-taught. I didn't retain any of the informat","Q:4/D:3/G:A — He is a good professor I took Corporate finance with him in summer so it was fast paced but it only had 5 group studies a midterm and a final both have 2 attempt and are on canvas so it is doable he is respectful and not rude, but pray that you get a good group otherwise you're stuck doing all the w","Q:1/D:1/G:A+ — We pay thousands of dollars in tuition for this guy to have us spend another $150 for an e-book (which includes all of the homework and exams). He's clearly too lazy to create his own material and doesn't truly care about his students. Seriously, the entire course is just a McGraw Hill e-book&#8230;"
"Omar Montoya","Labor Studies",2.8,2.8,37.5,8,"LABOR300","Q:3/D:3/G:A- — Class itself isn't too bad, but he's definitely a harsh grader for the final papers. You have weekly discussion posts and journey entries, which are very easy to get 100s on. The work is tedious and annoying, and you have to really put in effort to get a good grade on the papers. However, he's easy ","Q:1/D:4/G:C+ — Brutal grading on all the papers. Takes months to grade and provides no feedback to improve.","Q:1/D:2/G:B — Harsh grader, not a single person got an A in any of the final papers. He takes months to grade short papers and provides no feedback."
"Amanda Sorensen","Ecology  Evolutionary Biology",2.8,3.5,0,2,"11216416","Q:1/D:5/G:B+ — I wouldn't ever recommend taking a class with this teacher. Your entire grade depends on a single project and she gives no feedback and shows very little respect for students needs. Probably the worst instructor I have ever encountered in my education experience.","Q:5/D:2/G:N/A — Very helpful and brought chocolate to almost every class.",""
"John Leciejewski","Leadership & Organization",2,1,0,1,"STUTRANSITION","Q:2/D:1/G:A — The class seems pretty useless for a transition class. Personally, I felt like I already handled the transition well since I went to community college in NJ, so it didn't fully apply to me. The class is really only useful for people completely new to New Jersey or the United States. It should only b","",""
"Jiro Harasaki","Japanese",4.7,2.8,89.4737,69,"101102|102|565102|JAP101|JAP102|JAP201|JAP202|JAPAN|JAPAN101|JAPAN102|JAPAN201|JAPANESE101|JAPANESE102|JAPN202|JPN101|JPN102|JPN201|JPN202","Q:5/D:1/G:A+ — One of the best professors I've had engaging lectures and very lenient grading. Like any other language class it's cumulative and covers a lot. Obviously participation matters; best way to learn a language is speaking. Quizzes after each topic, expect 1-2 easy quizzes a week. If you're a Chinese stu","Q:5/D:3/G:A+ — Awesome professor that keeps class time really engaging and fun! There is homework and quizzes every week, but these are like 20 min homeworks and 10min quizzes iirc so it's not as bad as it sounds.","Q:1/D:4/G:C+ — Run!!!! PLEASE avoid him! I am a Chinese student and he said my Chinese character is wrong. I am 100% sure that write exactly same in Japanese and Chinese. And the quiz or exam happened nearly EVERY WEEK. So if you feel your college like is too easy and wish could be tortured. Choose this professor "
"Colin Campbell","Economics",4.6,3.2,94.7368,38,"102H|ECON102|ECON320|ECON406|ECON435|ECON482|ECON502|GAMETHEORY|GMTHY406|GMTHY482|INEQUALITY120|INTMICR|INTMICRO|MICRO|MICROHONORS","Q:5/D:2/G:Not sure yet — Overall amazing professor. Lectures were very clear and engaging. HW problems were appropriate difficulty and there were no surprises on the tests. Show up, do the problem sets and you should get an A. There is no final which is an added bonus","Q:5/D:2/G:N/A — This class has a lot of applied calculus involved, but Prof Campbell walks you through it step by step. He's great at explaining the different concepts and the math behind it, and his hw and exams were fair in difficulty. Definitely take a class with him if you can.","Q:5/D:2/G:A — Overall a good professor who knows a lot about Economics. The midterm and finals are very similar to the homework that he hands out so its relatively easy to prepare for. Even though he posts his notes, I recommend attending lectures since he does a great job of explaining the topics."
"Xiaochun Rong","Mathematics",3.2,3.3,33.3333,38,"151152|250|CALC151|CALC152|CALC157|CALC244|CALC250|CALC251|CALCULUSI|MATH151|MATH244|MATH250|MATH251|MATH252|MATH311|MATH350|MATH351","Q:2/D:5/G:Not sure yet — It was clear that he was very passionate about the topic but lectures were very disorganized + had a pretty heavy accent which made it difficult to understand him. HW is difficult and tests rely mostly on theorem proofs. He is unreachable outside of class bc he doesn't check email but is very willin","Q:5/D:4/G:B — I took two classes with him and actually learned to enjoy his class more and more. His class is definitely not 'easy,' but as the semester progressed, I got more used to his exams and was able to improve. His homework might be on the heavier and harder side. If you don't mind being a bit challenged,","Q:3/D:3/G:A — Homework is TOO MUCH.Every week, there're 15-20 problems,which took me 8-10 hours to do them.However, most of the homework problems are NOT worth the time I spent on them:some of the problems are excessively tricky,and others are simply the repetitions of basic theorems.But his lecture is good:motiv"
"Laura Smith","English",2,3.8,8.3333,29,"BCOMP100|ENG201|EXPOS101","Q:2/D:4/G:B — Had for college writing. Most boring class ever. Professor is not a good teacher and is not engaging at all. Tough grader, makes a required class super hard for no reason. Take another professor if you can.","Q:3/D:3/G:A — Prof Smith is a nice lady, but hard to read. I remember project one a lot of people received 70s. Which made me believe she was a tough grader. I would recommend to not take this section. Lectures are painful to sit through and attendance is mandatory. She notes when you come in late. Drop while you","Q:1/D:2/G:N/A — This professor's nice but doesn't hesitate to pull up your responses on screen and, occasionally, take a dig at your work. On top of that, she spends around 70 minutes out of every 80 minute class speaking, which made it hard to get any work done. Her assignment requirements and rubrics are unclear,"
"David Winters","Communication",4.1,1.8,86.9565,26,"COM152|COMM220|COMM352|DCIM152|GENRACE215|JMS215|JMS380|STROFINFO101","Q:5/D:1/G:A+ — Professor Winters is probably the best professor i've had at Rutgers. He's passionate about his subject and spreads this to his students. Very fair grader and his assignments are engaging. Quizzes, discussion posts and a final project. No final/midterm. Definitely recommend this class. He's awesome!","Q:4/D:3/G:A — so many ways to improve your grade in this class! online exams, but get ready to write papers. prof gives a lot of flexibility in terms of what to write and grades fairly! take this class for the SAS requirement!","Q:5/D:3/G:A+ — Genuinely, David Winters is phenomenal. He is a very nice and knowledgeable man, and I have learned so much in this course. He cares about your success and is truly passionate about what he's talking about. He will open your eyes about political or social movements!! His assignments are not that len"
"Tamara Lee","Labor Studies",4.9,1.9,100,17,"IDENTITYDISCRIM|LABOR100|LABORSTUDIES100|LBS101","Q:5/D:1/G:A — GPA BOOSTER. Professor is amazing and she always posts all tests online. Very easy class but she does not care about her students, its more like shes there for her job which she is passionate about. Definitely worth taking.","Q:4/D:1/G:B — very impressive teacher. midterm is online and there's no hw except for like 3-4 assignments. easy class but lectures are longg","Q:5/D:1/G:A — Easy class. Great professor. The collective bargaining assignment was both fun and helpful to do (as it can basically guarantee you an A in the class). A 3 hour class but usually ends early and you watch labor related films in class. There are readings but it's not necessary. All tests are online!"
"Joe McCune","Business",4.3,3.4,83.3333,12,"BUS101|COMM502|HR01|INTERNALCONSUL|ORGBEHA|STAFFING|TD312|TRAINING312","Q:5/D:2/G:A — Professor McCune was such an amazing professor. I took him in the summer for Managing the Workforce Flow. He just seemed so kind virtually although we never talked in person. His course structure was easy to follow and grading was clear. I will be taking another class with him this upcoming spring a","Q:5/D:2/G:A — Professor McCune is great! He's kind, intentional, and presents lectures as if he's teaching live, which makes them engaging. He's a fair grader, and the class is manageable. The midterm had MC and essay questions, and the final project could be done with a partner. Highly recommend taking his class","Q:5/D:4/G:A+ — Great course content, it is very up to date and practical."
"Jennifer  Buckman","Exercise & Sport Science",4.3,2.6,71.4286,7,"EXSCISTATS","Q:5/D:2/G:A — Dr. Buckman was an amazing professor! All her lectures were straight foward and her slideshows were prefect exam prep. Attend class so you don't fall behind with excel. Also attendance is taken for every class allowing two absences for the semester!  Overall she was great and super approachable!","Q:3/D:3/G:A — Really nice, clear with expectations. You kind of have to go to class to do well bc there are assignments that count for your credit for the day. Pretty straightforward with things.","Q:5/D:3/G:B+ — Prof buckman is awesome. she really wants her students to succeed and provides resources to do so. You have to go to class because you're graded off of in person activities and excel assignments. We collected our own data which was fun and she is funny. but you really cant skip class or you will fal"
"Peter Kokkinos","Exercise & Sport Science",2.2,4,40,5,"377XTP|PHYS370","Q:1/D:4/G:Not sure yet — really horrible professor, so bad at explaining and goes off on tangents all the time that don't matter. also gives attendance quizzes that are only open for 2 minutes at random times. would avoid but he's the only professor for this class. good luck","Q:1/D:5/G:N/A — Terrible Professor. Does not know how to time out assignments. gave an assignment on the last day of class with 2.5hrs and no prior information.   Lecture is boring, he talks about his own research instead of the material, hence why ppl no longer goes to his class.   Avoid at all costs","Q:3/D:3/G:N/A — XTP not Phys 370: Professor Kokkinos is very knowledge but he rambles a lot so class can be quite boring. Grading is just 3 exams online and labs which ended up just being lectures with some assignments. Attendance not mandatory. Relatively easy class despite the amount of information presented."
"Tomas Carvajal","Engineering",1.8,3.3,0,4,"388","Q:1/D:3/G:Not sure yet — just not a helpful professor at all for CAD. forgets to mention a bunch of key details especially during exams. overall the course isn't too bad as long as you teach yourself everything.","Q:1/D:4/G:A — Took him for CAD, though the course itself wasn't difficult; he doesn't seem to care about the stuff he teaches. He answers questions condescendingly and be prepared to learn everything yourself. During exams, make sure to refresh the file often, because there was an instance where he made a mistake","Q:2/D:3/G:Not sure yet — I found Tomas Carvajal to be a bad professor in the MAE department. Many people will likely provide higher ratings only because CAD classes are just easy in nature, and while this class was easy it could have been much higher quality. Rojas spent most of the time on slides which is not preferrable i"
"Derrick Darby","Philosophy",5,1.7,100,3,"01730256","Q:5/D:1/G:A — Hiphop + philosophy is one of the must-takes at Rutgers, 3 easy papers and you get a guest lecturer thats usually a respected hiphop artist every other week. Attendance is mandatory but lectures cover interesting debates and, again, are often guest hiphop artists. Decent amount of reading though.","Q:5/D:1/G:B+ — I took Rhymes and Reasons Hip Hop and Philosophy with him and it was an easy class based on workload. Your final grade is based off of a few assignments so try not to slip up on any of them. Professor Darby cares about making his class fun with his high energy, and even bringing in rappers to talk t","Q:5/D:3/G:B+ — Professor Darby is a great, easy class that fulfils part of the SAS core. The guest speakers he brings in are very knowledgeable in the music industry and after the class is over, you can speak to them. He clearly cares about the course and wants to teach. Attendance is mandatory for both lecture an"
"Zhao Zhuo","Music",5,3.5,100,2,"MUS104","Q:5/D:4/G:A — Professor Zhuo is probably one of the best professors I've come across in all my time at Rutgers. This class is pretty hard if you do not have any prior musical knowledge, but she does a great job going through the curriculum thoroughly. She is also so nice and will help you if you need any help, an","Q:5/D:3/G:B — The absolute GOAT. She explains everything in a clear manner, is always available to help and willing to make office hour appointments, and is just the nicest professor ever! She's also pretty lenient on deadlines (given your circumstances). Overall, amazing professor, TAKE HER. You won't regret it.",""
"Brent Hoagland","Sociology",5,1,100,2,"SOCIOLOGY101","Q:5/D:1/G:A+ — very easy class and grading is based heavy on easy assignments.","Q:5/D:1/G:A — He's such a good professor. Take any of his classes. His lectures are entertaining and is mainly just completing assignments on time.",""
"Joseph Koncyznski","Engineering",5,3,100,1,"ID3EA","Q:5/D:3/G:A — Prof. Koncyznski is the absolute GOAT. I love this guy sm and would love to have him again. He is an expert of many engineering fields (specifically BME and ECE), and is overall wonderful to talk to. He has many connections and has hella expertise and passion for engineering. He is a PE and came her","",""
"Jennifer Oberle","Biology",5,3,100,1,"GENBIO","Q:5/D:3/G:B — Great professor, easy to follow her lectures, super nice, answers everyone's questions. She takes her time explaining things especially since majority are all first years in her biology lecture this year, super sweet professor!","",""
"Carl Swisher","Geology",4.6,1.8,88.8889,40,"GEO101|GEO396|GEOLOGY|GEOLOGY101|INTROGEOLOGY|INTROGEOLOGYI|INTROTOGEO","Q:3/D:1/G:A — Course is easy and never takes the full 3 hrs. Lab once a week and lecture once a week. One exam, take home midterm which was self-graded. Not very understanding about students' time outside of his course and ended the semester with a very tedious presentation project. Overall, good professor who gr","Q:5/D:1/G:A- — I really enjoyed my time with professor Swisher. Class was easy and as long as you attend and do the labs you get the 4 credits. He and his interns are a class act, and Prof Swisher is one of the most knowledable person you will ever meet. Note that there is a $60 lab fee that appears on your term b","Q:5/D:1/G:A — Loved intro geo with Professor Swisher. Super chill dude, very passionate about geology. No work outside of class except for take-home midterms. Very easy to do well on the labs if you understand what's going on in lecture. Class usually ends at least an hour early, don't be scared of the 3-hour tim"
"Benjamin Koerber","Arabic",4.7,1.7,100,16,"AMES201|CM130|CONSPIRACY293|FOLKLORE101|GLOBARABIC225|INTROLIT221|INTROTOLIT221|LIT221","Q:5/D:1/G:A — Great professor and genuinely the easiest A of ur life. He doesn't like AI use (obviously) but you can get away with it with some effort and get through the entire class. Although if you prefer not to, the readings themselves were very easy and actually pretty interesting. 2 quizzes each with 2 week","Q:5/D:1/G:A — The class consisted of weekly comic readings with very short reflection assignments, two quizzes, and one final project. The content of this class was fascinating and Professor Koerber is very kind and an easy grader. I highly recommend this class to fulfill elective requirements!","Q:5/D:1/G:A — I took Global Arabic with him and I had a great experience. It was asynch and the weekly workload consisted of a reading and a couple of fairly easy tasks. Also I thought the material was interesting. He is a very nice guy and responds quickly to emails. Overall would definitely recommend taking a c"
"Ben Tam","English",3.9,3.1,78.5714,14,"BASICCOMP100|EXPOS101|WRTG303","Q:4/D:1/G:A+ — I think Prof. Tam was excellent. He loves class participation and he wants to get to know you as a person. He's slightly slow on grading and feedback as well as selective email responding. Any question you have just ask him directly, don't bother emailing.","Q:4/D:2/G:A — Good prof that acc teaches. Lectures are funny too. If you put in a good amount of effort you should be able to get an A.","Q:5/D:3/G:A — Probably the only professor you'll have who would remember your name."
"David Smith","Landscape Architecture  Regional Planning",3.7,2.7,70,13,"FUNDENVGEO|FUNDGEO|FUNDGEO232|FUNENVGEO231|SPATIALDATA437","Q:1/D:2/G:B — I hated taking his class. He just reads from slides, which makes sitting through it boring. He's also very petty and condescending. If he doesn't like you, he shows it by how he talks/grades you. He's also a tough grader. Exams are straightforward; make sure to study using lecture slides and review ","Q:2/D:2/G:A — the tests were very straightforward--just memorize the slideshows--but he is so petty. if he doesn't like you, you're not doing well, so make sure you answer questions during lecture and talk to him enough so that he knows your name. tough grader even tho this is an introductory class. fine class, b","Q:4/D:2/G:B — Awesome guy. Respects you if you respect him. Attendance is mandatory and he gives a few midterms, but the practice questions perfectly reflect what's on them and he tells you what's on the exam exactly. Overall cool guy&#8212; a bit of a tough grader though."
"Natalie DeSorbo","English",4.9,2.8,100,12,"EAD1|EAD155|EAD2|EAD201|EADII156|SUMPRACTICUM1","Q:5/D:2/G:A+ — This professor is so good. Never miss this good professor.","Q:4/D:3/G:B+ — She is a good professor and makes the class fun. Always gives you good feedback and helps you to be    success in this class. I recommend taking it.","Q:5/D:2/G:B+ — I just said I got a B+ but I didn't the class was pass no fail in the summer I just remember to leave a rating, but she is so sweet and an amazing professor, she is patient and answers all your questions and isn't harsh at all in grading. I loved having her in the summer and if you get her for the E"
"Paul Robinson","Cognitive Science",4.4,2.1,72.7273,11,"COG301","Q:3/D:3/G:A — nice guy, very supportive, and he gives lots of chances for extra credit, BUT... we have like 60 assignments (and counting) in this class on top of lecture presentations that are always 70+ slides long. imo at a certain point it just becomes overkill because there's so much information you need to g","Q:5/D:2/G:A — GOATED PROF. Take him whenever you can; he's really knowledgeable and easy to understand. All you gotta do is ask him to change the grade for you if you're ever late, and he does it. There are many opportunities to earn extra credit. He wants you to succeed. There's genuinely no way for you not to e","Q:2/D:4/G:B — We have an assignment like every day in this class I swear all we do is busy work. Don't get me wrong, they're easy assignments (usually), but even missing 1 of them tanks your grade & its almost impossible to get back up, you have to wait for the next exam. And why is my assignment due at 1 PM on a"
"Kevon Rhiney","Environmental Science",4.3,3.2,88.8889,9,"311|CARIBB335|ENV101|ENVI101|ENVIRON101|INTROENVIR101|INTROENVIRON101","Q:5/D:1/G:A — Amazing proff, cares a lot about students and subject. Took this class as an SOE elective but found it really interesting. Work was very doable and he was super understanding and transparent with grade. Proff was always willing to help if you asked. Super great guy to talk to. As long as you do your","Q:5/D:5/G:Drop/Withdrawal — I like Professor Rhiney. He's from Jamaica, so his Jamaican accent is not bad; it's similar to British English. He does attendance and participation and two open note quizzes. Take home/lab-based assignments, Group paper/presentation, and a final project. For the group projects, they pick a natural ","Q:4/D:4/G:B+ — Its a 110 point class and 70 points come from two multiple choice exams. His lectures are a little boring but you can definitely can tell hes passionate about what he is talking about. Go to lecture because he gives out extra credit points. Hes a really nice guy too so if you are struggling just tal"
"David Sorenson","Philosophy",4.3,2.7,83.3333,6,"LOGIC|PHIL101|PHIL104|TOPMEDETHICS348","Q:3/D:3/G:A — Extremely boring course but fulfilled requirements. Lots of small assignments but prof is flexible with deadlines and will open them once in a while if missed. Participation is not mandatory but helps if in between grades. Big group project debate at the end of the semester that is worth as much as ","Q:4/D:2/G:Incomplete — As long as you either do the online readings or take notes in class it'll be easy.","Q:5/D:2/G:A+ — Pretty easy class. Like 4 Problem sets that make up a chunk of your grade just ctrl f the textbook for answers and pay attention. Group project on global issues (do your research). Midterm is online open note and final is online open note (just ctrl f the textbook and problem sets almost always same"
"Brendan Mahoney","Information Science",5,1.2,100,5,"04189220","Q:5/D:2/G:Not sure yet — Professor Mahoney is AMAZING. He is very understanding and very passionate. The workload is not overwhelming and is very manageable. Would highly recommend!","Q:5/D:1/G:A — Love Prof. Mahoney. The lectures are actually interesting and the weekly discussions and annotations aren't hard or tedious. He listens to you if you have questions and makes sure everyone understands the lecture topic. Would definitely take him again","Q:5/D:1/G:A+ — Literally the goat. There are no exams, just weekly annotations based on quick readings, discussion posts, and several assignments, which are graded extremely leniently. There's one async lecture (a pre-recorded video) and one in-person lecture a week, but he allows you to join the in-person lecture"
"Denise Kreiger","Information Science",3,3,50,4,"ITI220","Q:1/D:4/G:B+ — Graded harshly. If you take her class make sure the read the god damn essay she writes for each assignment instructions. There's always something you will miss in her instructions. I hated her class","Q:4/D:2/G:A — Professor Kreiger is incredibly kind and engaged, she cares a lot about the class. I took education and computers class and learned a lot. There is a lot of group work, but if you connect with your team early on you'll be fine. None of the work is hard, you just have to be thoughtful and engaged and","Q:4/D:2/G:A — I think she is a pretty good professor but going to class at times seemed to be kind of pointless because we would go over instructions that were already on eCollege. However, she does provide good feedback when you do assignments. The class is a easy A if you keep up with the work each week. No qui"
"William Updale","Information Technology",4.8,1.5,100,4,"ITI201|ITI240","Q:5/D:1/G:A — Such a great professor with industry experience. You learn a lot from his class, and it's easy to follow and do well. There is a textbook, but we never really used it as his slides are enough. Took him for ITF, highly recommend!","Q:5/D:1/G:A+ — Phenomenal professor! He cares about his students and I rated his course as very easy but I'd say its very easy when you are constantly participating in his class, asking questions etc. which really helps you retain all the info that was taught for the quizzes. looked forward to his class and it was","Q:5/D:1/G:A — I took him for IT Fundamentals, and the class was very stress-free. Professor Updale is very knowledgeable and his lectures are interesting. Most of your grade comes from attendance, and all you need to do is just sit there and listen. Besides that, there were only 1-page papers every other week, an"
"Guran Serpil ","Biology",2.8,1.6,60,5,"10023","Q:3/D:1/G:A+ — first semester of college and sustainability decisions was one of my easiest classes. weekly assignments typically just a discussion post and a one pager. i always did the assignments on the very last day and it takes no more than an hour or two to do. my only complaint is that she does not respond ","Q:2/D:1/G:A+ — The class is extremely easy, and everything is graded incredibly leniently. That being said, the canvas is extremely poorly run, and many assignments were uploaded incorrectly, on the wrong date, or in the wrong category. If you take this class, you should expect to teach yourself, there will be lit","Q:5/D:2/G:A+ — Took async for sustainability decision, very easy. 2 assignments per week, discussion, and paper (paper isn't long at all). Very easy guidelines, provides all textbook files. Exams are very easy as well, just have the weekly presentations on hand. Very lenient with late assignments, graded my midter"
"Mary Nikola","Leadership & Organization",1.6,4,0,5,"11015102|11607200","Q:1/D:5/G:C+ — As a straight&#8209;A student, I don't recommend this class. The instructor nitpicks, contradicts her own policies, and grades harshly, leaving expectations unclear and the environment discouraging.","Q:1/D:5/G:C+ — Absolutely would not take again or recommend. She is an EXTREMELY tough grader, she cares way more about your writing style than the actual quality of your work. One of the 1st assign. I received a 0/100 for simply not #ing my ?'s,work was full of sources and solid info, she did not care because it ","Q:1/D:3/G:B — Dr. Nikola is an extremely harsh professor and has a very unique way of explaining that your work is wrong because it is not in her image. She often wants the work to be specific to what she may or may not have mentioned in the prompts(specifically for the discussion posts) which will get taxing. Ov"
"Lauren Fedorko","English",4.7,3.7,94.7368,27,"355303|ENG355302|ENG355303|WRTG303","Q:5/D:3/G:A — I took College Writing with Professor Fedorko. She is extremely kind and willing to help the students. For example, she makes sure the deadline is good with us. She makes time for conferencing. She is caring and sweet! Her feedback for all her assignments is very clear. She posts a lot of exemplars ","Q:5/D:3/G:Not sure yet — Lauren is an incredible professor. She cares so deeply about the class and each student within it. She provides great feedback, her dedication to each of her students is genuinely what helped me succeed in her class. The class itself (Writing for Business and the Professions) is very work heavy and ","Q:5/D:4/G:B+ — Professor Fedroko is an amazing prof! She cares about everybody doing well in her class, is very clear about the grading criteria. She gives very helpful feedback on every assignment. This was a hard class, but her feedback made it a lot less stressful. You are being graded on a few things so if you"
